Student_ID,Student_Name,Department,Attendance_Pct,Study_Hours_Per_Week,Quiz_Avg,Assignment_Avg,Midterm_Score,Final_Score,Extracurricular_Score
STU001,Ayesha Khan,Data Science,85.0,12.3,42.4,35.0,30.0,30.0,53.7
STU002,Hassan Ahmed,Computer Science,74.5,22.7,54.0,63.1,56.3,71.6,51.0
STU003,Fatima Ali,Software Engineering,81.4,15.4,35.0,40.7,30.0,32.2,84.9
STU004,Usman Malik,Information Technology,85.3,20.1,37.5,41.5,37.1,67.3,73.5
STU005,Zainab Raza,Computer Science,85.2,17.9,43.1,41.1,48.0,40.4,38.0
STU006,Hamza Sheikh,Business Administration,86.2,9.9,35.0,35.0,30.0,32.1,56.2
STU007,Mariam Hussain,Information Technology,98.1,11.1,38.7,35.0,34.7,52.7,74.7
STU008,Bilal Iqbal,Business Administration,86.5,21.2,47.8,63.3,54.4,63.6,81.1
STU009,Sana Siddiqui,Business Administration,79.6,13.0,49.6,35.0,35.2,30.7,52.7
STU010,Ahmed Butt,Business Administration,91.6,12.6,43.2,37.1,34.5,30.0,20.0
STU011,Hira Chaudhry,Computer Science,93.9,9.3,35.0,43.1,30.0,33.0,76.5
STU012,Omar Farooq,Electrical Engineering,69.7,17.5,52.5,35.0,47.0,49.3,41.5
STU013,Laiba Aslam,Information Technology,88.0,27.4,35.0,49.7,41.7,56.6,29.9
STU014,Saad Qureshi,Software Engineering,89.0,8.6,35.0,35.0,30.0,30.0,20.0
STU015,Mahnoor Shah,Electrical Engineering,79.0,15.1,55.6,45.4,30.0,44.6,79.5
STU016,Danish Javed,Computer Science,95.8,23.5,43.2,35.0,45.1,69.9,69.7
STU017,Iqra Mirza,Business Administration,80.5,14.5,35.0,35.0,30.0,41.4,61.0
STU018,Talha Akhtar,Software Engineering,83.3,17.7,35.0,35.0,38.7,45.4,90.5
STU019,Anam Nawaz,Information Technology,80.3,8.6,35.0,35.0,30.0,30.0,76.5
STU020,Huzaifa Khalid,Electrical Engineering,82.2,17.6,35.0,51.8,31.8,30.0,94.4
STU021,Areeba Khan,Data Science,71.0,13.9,35.0,35.0,30.0,30.0,38.6
STU022,Abdullah Ahmed,Electrical Engineering,67.6,20.9,35.0,35.0,36.2,34.6,62.5
STU023,Maham Ali,Software Engineering,97.9,22.1,44.2,45.6,54.8,42.1,38.6
STU024,Rayan Malik,Computer Science,73.5,30.5,50.8,35.0,36.1,46.7,59.9
STU025,Eman Raza,Information Technology,72.1,18.5,35.0,45.7,40.3,36.9,59.3
STU026,Fahad Sheikh,Software Engineering,60.5,17.0,57.5,37.8,47.2,56.6,73.4
STU027,Komal Hussain,Business Administration,75.6,16.2,39.7,35.0,40.0,37.9,65.2
STU028,Arham Iqbal,Information Technology,68.8,12.9,42.0,35.0,30.0,30.0,74.5
STU029,Nimra Siddiqui,Electrical Engineering,98.4,17.0,35.0,35.0,35.9,48.1,80.4
STU030,Yasir Butt,Software Engineering,92.1,13.2,41.1,35.0,36.2,31.2,100.0
STU031,Mehwish Chaudhry,Electrical Engineering,75.1,16.0,35.0,35.0,32.4,40.6,58.6
STU032,Waleed Farooq,Electrical Engineering,100.0,22.9,54.9,48.3,30.0,42.8,51.1
STU033,Aleena Aslam,Electrical Engineering,91.8,9.0,37.8,52.7,38.8,31.4,71.2
STU034,Shahzaib Qureshi,Computer Science,78.8,21.8,49.5,49.1,70.8,48.0,50.4
STU035,Rabia Shah,Electrical Engineering,57.0,22.9,35.0,35.0,30.0,34.1,88.2
STU036,Hamza Javed,Business Administration,100.0,14.3,35.0,45.5,30.5,47.4,62.9
STU037,Kiran Mirza,Business Administration,68.1,3.0,35.0,35.0,30.0,30.0,53.0
STU038,Sameer Akhtar,Information Technology,65.5,11.4,35.0,35.0,36.7,30.0,54.3
STU039,Alina Nawaz,Data Science,92.2,22.8,57.4,42.5,67.9,51.7,79.8
STU040,Taha Khalid,Electrical Engineering,100.0,14.9,35.0,35.0,30.0,45.0,65.2
STU041,Maryam Khan,Electrical Engineering,95.8,9.0,36.4,35.0,35.9,30.0,55.8
STU042,Daniyal Ahmed,Software Engineering,87.6,12.0,35.0,35.0,33.3,30.0,96.1
STU043,Sidra Ali,Computer Science,87.9,20.0,45.6,40.4,38.5,54.6,50.8
STU044,Hammad Malik,Data Science,90.5,18.3,48.7,39.3,46.6,36.7,67.2
STU045,Aiman Raza,Information Technology,89.6,13.6,35.0,35.0,52.3,30.0,78.2
STU046,Rehan Sheikh,Data Science,84.8,12.8,38.5,40.2,43.0,32.6,36.4
STU047,Minal Hussain,Electrical Engineering,83.0,12.6,35.0,35.0,30.0,30.0,74.1
STU048,Shayan Iqbal,Software Engineering,81.4,9.5,35.0,38.8,39.2,30.0,46.2
STU049,Zoya Siddiqui,Computer Science,74.5,24.7,35.0,35.0,38.5,39.6,79.0
STU050,Faisal Butt,Information Technology,79.2,13.1,35.0,35.7,43.6,51.3,47.6
