"#","Learner Name","Attendance","Assessment Score","LMS Activity","Prior Performance","Risk Classification","Model Certainty"
"1","Ayesha Khan","85%","30%","12.3%","70%","Medium Risk","56.5%"
"2","Hassan Ahmed","74.5%","56.3%","22.7%","70%","Medium Risk","96.5%"
"3","Fatima Ali","81.4%","30%","15.4%","70%","Medium Risk","56.5%"
"4","Usman Malik","85.3%","37.1%","20.1%","70%","Medium Risk","54.0%"
"5","Zainab Raza","85.2%","48%","17.9%","70%","Medium Risk","93.4%"
"6","Hamza Sheikh","86.2%","30%","9.9%","70%","Medium Risk","56.5%"
"7","Mariam Hussain","98.1%","34.7%","11.1%","70%","Medium Risk","49.6%"
"8","Bilal Iqbal","86.5%","54.4%","21.2%","70%","Medium Risk","98.3%"
"9","Sana Siddiqui","79.6%","35.2%","13%","70%","Medium Risk","53.4%"
"10","Ahmed Butt","91.6%","34.5%","12.6%","70%","Medium Risk","50.3%"
"11","Hira Chaudhry","93.9%","30%","9.3%","70%","Medium Risk","49.6%"
"12","Omar Farooq","69.7%","47%","17.5%","70%","Medium Risk","87.4%"
"13","Laiba Aslam","88%","41.7%","27.4%","70%","Medium Risk","52.1%"
"14","Saad Qureshi","89%","30%","8.6%","70%","Medium Risk","55.3%"
"15","Mahnoor Shah","79%","30%","15.1%","70%","Medium Risk","54.0%"
"16","Danish Javed","95.8%","45.1%","23.5%","70%","Medium Risk","46.5%"
"17","Iqra Mirza","80.5%","30%","14.5%","70%","Medium Risk","55.3%"
"18","Talha Akhtar","83.3%","38.7%","17.7%","70%","Medium Risk","56.5%"
"19","Anam Nawaz","80.3%","30%","8.6%","70%","Medium Risk","55.3%"
"20","Huzaifa Khalid","82.2%","31.8%","17.6%","70%","Medium Risk","56.5%"
"21","Areeba Khan","71%","30%","13.9%","70%","High Risk","54.1%"
"22","Abdullah Ahmed","67.6%","36.2%","20.9%","70%","High Risk","54.1%"
"23","Maham Ali","97.9%","54.8%","22.1%","70%","Medium Risk","90.6%"
"24","Rayan Malik","73.5%","36.1%","30.5%","70%","High Risk","52.3%"
"25","Eman Raza","72.1%","40.3%","18.5%","70%","High Risk","50.4%"
"26","Fahad Sheikh","60.5%","47.2%","17%","70%","Medium Risk","72.0%"
"27","Komal Hussain","75.6%","40%","16.2%","70%","Medium Risk","49.9%"
"28","Arham Iqbal","68.8%","30%","12.9%","70%","High Risk","51.0%"
"29","Nimra Siddiqui","98.4%","35.9%","17%","70%","Medium Risk","49.6%"
"30","Yasir Butt","92.1%","36.2%","13.2%","70%","Medium Risk","49.6%"
"31","Mehwish Chaudhry","75.1%","32.4%","16%","70%","High Risk","49.7%"
"32","Waleed Farooq","100%","30%","22.9%","70%","High Risk","46.0%"
"33","Aleena Aslam","91.8%","38.8%","9%","70%","Medium Risk","50.3%"
"34","Shahzaib Qureshi","78.8%","70.8%","21.8%","70%","Medium Risk","94.0%"
"35","Rabia Shah","57%","30%","22.9%","70%","Medium Risk","55.7%"
"36","Hamza Javed","100%","30.5%","14.3%","70%","Medium Risk","48.9%"
"37","Kiran Mirza","68.1%","30%","3%","70%","High Risk","51.0%"
"38","Sameer Akhtar","65.5%","36.7%","11.4%","70%","High Risk","51.6%"
"39","Alina Nawaz","92.2%","67.9%","22.8%","70%","Medium Risk","78.4%"
"40","Taha Khalid","100%","30%","14.9%","70%","Medium Risk","48.9%"
"41","Maryam Khan","95.8%","35.9%","9%","70%","Medium Risk","49.6%"
"42","Daniyal Ahmed","87.6%","33.3%","12%","70%","Medium Risk","54.0%"
"43","Sidra Ali","87.9%","38.5%","20%","70%","Medium Risk","54.6%"
"44","Hammad Malik","90.5%","46.6%","18.3%","70%","Medium Risk","76.8%"
"45","Aiman Raza","89.6%","52.3%","13.6%","70%","Medium Risk","94.0%"
"46","Rehan Sheikh","84.8%","43%","12.8%","70%","Medium Risk","56.5%"
"47","Minal Hussain","83%","30%","12.6%","70%","Medium Risk","56.5%"
"48","Shayan Iqbal","81.4%","39.2%","9.5%","70%","Medium Risk","56.5%"
"49","Zoya Siddiqui","74.5%","38.5%","24.7%","70%","High Risk","52.2%"
"50","Faisal Butt","79.2%","43.6%","13.1%","70%","Medium Risk","54.0%"
